embed_dim,num_heads,hidden_dim,num_layers,final_fc_dim,val_accuracy,num_params,training_time,epochs_run,stopped_early,experiment
16,2,32,2,64,13.017751479289942,15396,3.6059911251068115,5,True,Exp1_Embedding_vs_Hidden
16,2,64,2,64,19.526627218934912,17508,3.9234445095062256,5,True,Exp1_Embedding_vs_Hidden
16,2,128,2,64,6.508875739644971,21732,4.780143737792969,5,True,Exp1_Embedding_vs_Hidden
16,2,256,2,64,14.201183431952662,30180,6.390294551849365,5,True,Exp1_Embedding_vs_Hidden
32,2,32,2,64,15.384615384615385,28260,4.208185434341431,5,True,Exp1_Embedding_vs_Hidden
32,2,64,2,64,15.384615384615385,32420,4.5124671459198,5,True,Exp1_Embedding_vs_Hidden
32,2,128,2,64,17.159763313609467,40740,5.294555425643921,5,True,Exp1_Embedding_vs_Hidden
32,2,256,2,64,23.076923076923077,57380,6.813503265380859,5,True,Exp1_Embedding_vs_Hidden
64,2,32,2,64,27.218934911242602,66276,5.433403015136719,5,True,Exp1_Embedding_vs_Hidden
64,2,64,2,64,34.319526627218934,74532,5.904356479644775,5,True,Exp1_Embedding_vs_Hidden
64,2,128,2,64,25.443786982248522,91044,6.586947679519653,5,True,Exp1_Embedding_vs_Hidden
64,2,256,2,64,22.485207100591715,124068,8.915020942687988,5,True,Exp1_Embedding_vs_Hidden
32,2,64,1,64,21.893491124260358,23876,3.411574363708496,5,True,Exp2_Layers
32,2,64,2,64,13.609467455621301,32420,4.793430328369141,5,True,Exp2_Layers
32,2,64,3,64,21.893491124260358,40964,6.539004564285278,5,True,Exp2_Layers
32,2,64,4,64,19.526627218934912,49508,8.544781923294067,5,True,Exp2_Layers
32,1,64,2,64,15.384615384615385,32420,3.281261444091797,5,True,Exp3_Heads
32,2,64,2,64,15.976331360946746,32420,4.558526515960693,5,True,Exp3_Heads
32,4,64,2,64,12.42603550295858,32420,7.058688163757324,5,True,Exp3_Heads
32,8,64,2,64,20.710059171597635,32420,14.250962972640991,5,True,Exp3_Heads
32,2,64,2,16,10.650887573964498,26036,4.406585931777954,5,True,Exp4_Final_FC
32,2,64,2,32,7.100591715976331,28164,4.427680969238281,5,True,Exp4_Final_FC
32,2,64,2,64,12.42603550295858,32420,4.590576648712158,5,True,Exp4_Final_FC
32,2,64,2,128,20.710059171597635,40932,4.59114408493042,5,True,Exp4_Final_FC
32,2,64,2,256,46.74556213017752,57956,9.00436019897461,10,False,Exp4_Final_FC
