layers,neurons,params,train_time_sec,inference_latency_ms,r2_mean,mae_mean,r2_var,mae_var,r2_std,mae_std
2,128,18434,2.2451016902923584,0.6407260894775391,0.9462879943922985,0.4960934437911286,0.6086298883786156,1.2136371799153276,0.6524115576681156,0.290960239321695
3,64,9282,2.3656582832336426,0.3732442855834961,0.9433868816342408,0.5076187243883739,0.6070384862768007,1.2005884947259262,0.6548162586185806,0.28643396601333
4,64,13442,2.572827100753784,0.502324104309082,0.9442768719406917,0.5147087901550349,0.6047777039929393,1.1941739548212005,0.6590943462210903,0.28394612682983383
4,128,51458,2.996904134750366,1.1463403701782227,0.9371032768032945,0.5337452048736439,0.603142782534984,1.209605049134797,0.6450438483693204,0.2906030135852191
3,32,2594,2.532646656036377,0.2947092056274414,0.9493786085343798,0.48895718528922755,0.6015345619441046,1.2203762679418302,0.644352247666367,0.2921897187405666
2,32,1538,1.990762710571289,0.22380352020263672,0.949385892617168,0.48515854087795757,0.5997987905150435,1.2115290727480843,0.6463815599388538,0.2902263715755932
4,16,1058,2.4182841777801514,0.37097930908203125,0.9508088289068775,0.4784186349875701,0.5974766665685196,1.2381954739059824,0.6403218028842359,0.29721513598964067
3,16,786,2.189948797225952,0.2676725387573242,0.9439070687681848,0.5134674917050318,0.5910866342947926,1.2183617125118034,0.6449358180792213,0.29041955825674903
2,64,5122,2.072422742843628,0.2921104431152344,0.949482821140426,0.48303352145518835,0.590914389730943,1.2099541890838228,0.6419904539539546,0.28961441101335483
3,128,34946,2.549238920211792,0.8850574493408203,0.9456519326214762,0.5006899891092199,0.5886312109296687,1.2617902069049172,0.6196123562769205,0.30430767936762043
1,32,482,1.7404820919036865,0.18525123596191406,0.9500243803193976,0.4781288588139668,0.579113535329658,1.2744833470672567,0.6208712531871425,0.30826855396620967
2,16,514,1.8741540908813477,0.19683837890625,0.9489651143488093,0.48299416482266944,0.5676090398080293,1.2754292332966406,0.6166393041673106,0.3055692126538601
4,32,3650,2.5503945350646973,0.3402233123779297,0.9483725154788869,0.4926961711769222,0.5655127529719701,1.2597171372631124,0.6123343966405326,0.3016885151520275
1,64,962,1.68233323097229,0.25179386138916016,0.9481162935455911,0.48809689550755064,0.5649233295875897,1.2600148605022916,0.6326364690905224,0.30002073466065676
1,128,1922,1.7815005779266357,0.2547740936279297,0.9462974049322914,0.5007008117845565,0.560424626359832,1.2799542267404154,0.6111493117701524,0.3081743235202447
1,16,242,1.7057244777679443,0.17991065979003906,0.9520472063656025,0.469665925073758,0.4949850878463702,1.3930395901292516,0.5464450615771076,0.33720112206371006
